church_id,church_name,presbytery_id,source_dataset,observed_roster_rows,unique_printed_name_denominator,confirmed_person_count,confirmed_resolution_rate,multi_roster_person_count,multi_roster_rate_among_confirmed
city-presbyterian-church-25bb74,City Presbyterian Church,hills-and-plains,a_faithful_pca_2022-03-14,6,6,5,83.33,5,100.00
chesterfield-presbyterian-church-a90883,Chesterfield Presbyterian Church,missouri,a_faithful_pca_2022-03-14,13,13,4,30.77,4,100.00
christ-central-presbyterian-church-e74cea,Christ Central Presbyterian Church,korean-capital,a_faithful_pca_2022-03-14,5,5,4,80.00,4,100.00
covenant-presbyterian-church-a11070,Covenant Presbyterian Church,chicago-metro,a_faithful_pca_2022-03-14,5,5,3,60.00,3,100.00
perimeter-church-7907f1,Perimeter Church,metro-atlanta,a_faithful_pca_2022-03-14,8,8,3,37.50,3,100.00
chapelgate-presbyterian-church-705d73,Chapelgate Presbyterian Church,chesapeake,a_faithful_pca_2022-03-14,15,15,2,13.33,2,100.00
christ-presbyterian-church-62998c,Christ Presbyterian Church,hills-and-plains,a_faithful_pca_2022-03-14,2,2,2,100.00,2,100.00
christ-presbyterian-church-66ac3c,Christ Presbyterian Church,nashville,a_faithful_pca_2022-03-14,5,5,2,40.00,2,100.00
covenant-presbyterian-church-b449c7,Covenant Presbyterian Church,missouri,a_faithful_pca_2022-03-14,5,5,2,40.00,2,100.00
lake-nona-presbyterian-church-068012,Lake Nona Presbyterian Church,central-florida,a_faithful_pca_2022-03-14,2,2,2,100.00,2,100.00
memorial-presbyterian-church-ed4386,Memorial Presbyterian Church,highlands,a_faithful_pca_2022-03-14,7,7,2,28.57,2,100.00
trinity-presbyterian-church-03748c,Trinity Presbyterian Church,southern-new-england,a_faithful_pca_2022-03-14,4,4,2,50.00,2,100.00
canyon-creek-presbyterian-church-adec72,Canyon Creek Presbyterian Church,northern-california,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
christ-church-intown-9fe503,Christ Church Intown,north-florida,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
christ-church-pca-cadaaa,Christ Church PCA,northern-illinois,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
christ-community-church-34e63c,Christ Community Church,nashville,a_faithful_pca_2022-03-14,13,13,1,7.69,1,100.00
christ-the-king-presbyterian-church-e16713,Christ The King Presbyterian Church,southern-new-england,a_faithful_pca_2022-03-14,3,3,1,33.33,1,100.00
christ-the-king-presbyterian-church-e4aa76,Christ The King Presbyterian Church,eastern-carolina,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
christ-the-king-church-newton-8ee728,Christ the King Church Newton,southern-new-england,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
christ-the-king-presbyterian-church-96488b,Christ the King Presbyterian Church,rio-grande,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
christ-the-king-presbyterian-church-9e784c,Christ the King Presbyterian Church,houston-metro,a_faithful_pca_2022-03-14,4,4,1,25.00,1,100.00
city-church-b5d03b,City Church,pacific-northwest,a_faithful_pca_2022-03-14,5,5,1,20.00,1,100.00
columbia-presbyterian-church-074d69,Columbia Presbyterian Church,chesapeake,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
deep-run-church-ddb221,Deep Run Church,chesapeake,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
emmanuel-presbyterian-church-18a9c3,Emmanuel Presbyterian Church,south-texas,a_faithful_pca_2022-03-14,5,5,1,20.00,1,100.00
emmanuel-presbyterian-church-219aa0,Emmanuel Presbyterian Church,potomac,a_faithful_pca_2022-03-14,3,3,1,33.33,1,100.00
ethos-presbyterian-church-43db9b,Ethos Presbyterian Church,chicago-metro,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
first-presbyterian-church-7feb36,First Presbyterian Church,central-georgia,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
fountain-square-presbyterian-church-04bf3c,Fountain Square Presbyterian Church,central-indiana,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
grace-peace-5f3998,Grace & Peace,wisconsin,a_faithful_pca_2022-03-14,3,3,1,33.33,1,100.00
grace-central-presbyterian-church-c95064,Grace Central Presbyterian Church,ohio-valley,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
grace-presbyterian-church-fe5fd2,Grace Presbyterian Church,hills-and-plains,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
grace-south-bay-a455fd,Grace South Bay,northern-california,a_faithful_pca_2022-03-14,3,3,1,33.33,1,100.00
grace-and-peace-church-500984,Grace and Peace Church,rocky-mountain,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
granada-presbyterian-church-210d9f,Granada Presbyterian Church,south-florida,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
harvest-presbyterian-church-00108e,Harvest Presbyterian Church,ohio,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
harvest-presbyterian-church-d51bae,Harvest Presbyterian Church,korean-capital,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
hope-presbyterian-church-3f087c,Hope Presbyterian Church,ohio-valley,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
hope-presbyterian-church-e6ef45,Hope Presbyterian Church,piedmont-triad,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
intown-community-church-b7c71a,Intown Community Church,metro-atlanta,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
iron-works-church-west-chester-a08005,Iron Works Church West Chester,philadelphia-metro-west,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
midtown-presbyterian-church-19d8a1,Midtown Presbyterian Church,missouri,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
new-city-church-7a22e3,New City Church,metro-atlanta,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
new-city-presbyterian-church-1661e7,New City Presbyterian Church,ohio-valley,a_faithful_pca_2022-03-14,5,5,1,20.00,1,100.00
new-life-church-of-irvine-6267b9,New Life Church of Irvine,south-coast,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
new-life-presbyterian-church-of-orange-county-efad1c,New Life Presbyterian Church of Orange County,korean-southwest-orange-county,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
new-valley-church-edd0cb,New Valley Church,arizona,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
north-augusta-fellowship-37c416,North Augusta Fellowship,palmetto,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
old-orchard-church-f645a2,Old Orchard Church,missouri,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
one-voice-fellowship-d78830,One Voice Fellowship,potomac,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
ponce-presbyterian-church-52b890,Ponce Presbyterian Church,metro-atlanta,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
red-mountain-church-7adad6,Red Mountain Church,evangel,a_faithful_pca_2022-03-14,3,3,1,33.33,1,100.00
redeemer-presbyterian-church-a18860,Redeemer Presbyterian Church,korean-southwest,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
redeemer-presbyterian-church-bc8f71,Redeemer Presbyterian Church,iowa,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
redeemer-presbyterian-church-d11e43,Redeemer Presbyterian Church,piedmont-triad,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
redeemer-presbyterian-church-east-side-631b40,Redeemer Presbyterian Church East Side,metropolitan-new-york,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
redeemer-presbyterian-church-west-side-82f1aa,Redeemer Presbyterian Church West Side,metropolitan-new-york,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
resurrection-church-211f4d,Resurrection Church,eastern-canada,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
resurrection-indiana-95dba7,Resurrection Indiana,pittsburgh,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
rincon-mountain-presbyterian-church-28fb77,Rincon Mountain Presbyterian Church,arizona,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
riveroaks-presbyterian-church-2e400b,RiverOaks Presbyterian Church,hills-and-plains,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
second-city-church-c8ffcb,Second City Church,susquehanna-valley,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
seven-hills-presbyterian-church-550fd5,Seven Hills Presbyterian Church,southern-new-england,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
shawnee-presbyterian-church-689e99,Shawnee Presbyterian Church,hills-and-plains,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
south-baton-rouge-presbyterian-church-7f4fc6,South Baton Rouge Presbyterian Church,southern-louisiana,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
spanish-river-church-4baafe,Spanish River Church,gulfstream,a_faithful_pca_2022-03-14,8,8,1,12.50,1,100.00
st-elmo-presbyterian-church-72eed8,St. Elmo Presbyterian Church,tennessee-valley,a_faithful_pca_2022-03-14,3,3,1,33.33,1,100.00
st-roch-community-church-9476f9,St. Roch Community Church,southern-louisiana,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
the-table-church-9e5bae,The Table Church,rocky-mountain,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
trinity-grace-church-5bb759,Trinity Grace Church,south-texas,a_faithful_pca_2022-03-14,1,1,1,100.00,1,100.00
trinity-presbyterian-100b48,Trinity Presbyterian,north-texas,a_faithful_pca_2022-03-14,4,4,1,25.00,1,100.00
trinity-presbyterian-church-813566,Trinity Presbyterian Church,tidewater,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
wheatland-presbyterian-church-15f804,Wheatland Presbyterian Church,susquehanna-valley,a_faithful_pca_2022-03-14,2,2,1,50.00,1,100.00
