dataset_a,dataset_b,roster_a_unique_printed_names,roster_b_unique_printed_names,confirmed_subset_a_count,confirmed_subset_b_count,confirmed_intersection_count,confirmed_union_count,jaccard_similarity,percent_of_confirmed_subset_a_in_b,percent_of_confirmed_subset_b_in_a,confirmed_lower_bound_percent_of_roster_a_in_b,confirmed_lower_bound_percent_of_roster_b_in_a,unresolved_possible_overlap_count
a_faithful_pca_2021-06-11,a_faithful_pca_2022-03-14,561,736,128,161,128,161,0.795031,100.00,79.50,22.82,17.39,432
a_faithful_pca_2021-06-11,amr_leadership_current,561,6,128,6,3,131,0.022901,2.34,50.00,0.53,50.00,0
a_faithful_pca_2021-06-11,amr_website_media_2023_2026,561,60,128,6,3,131,0.022901,2.34,50.00,0.53,5.00,10
a_faithful_pca_2021-06-11,amr_youtube_media_2023_2026,561,40,128,6,3,131,0.022901,2.34,50.00,0.53,7.50,5
a_faithful_pca_2021-06-11,institution_cdm,561,30,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_covenant-college,561,48,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,1
a_faithful_pca_2021-06-11,institution_covenant-theological-seminary,561,51,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,6
a_faithful_pca_2021-06-11,institution_geneva-benefits,561,46,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_greenville-presbyterian-theological-seminary,561,29,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_mission-to-north-america,561,95,128,2,1,129,0.007752,0.78,50.00,0.18,1.05,4
a_faithful_pca_2021-06-11,institution_mission-to-the-world,561,10,128,1,1,128,0.007812,0.78,100.00,0.18,10.00,0
a_faithful_pca_2021-06-11,institution_pca-administrative-committee,561,19,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_pca-foundation,561,23,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,1
a_faithful_pca_2021-06-11,institution_reformed-theological-seminary,561,46,128,1,0,129,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_reformed-university-fellowship,561,33,128,1,0,129,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_ridge-haven,561,17,128,1,1,128,0.007812,0.78,100.00,0.18,5.88,0
a_faithful_pca_2021-06-11,institution_westminster-seminary-california,561,21,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_westminster-theological-seminary,561,32,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,nae_withdrawal_protest_2022,561,203,128,79,31,176,0.176136,24.22,39.24,5.53,15.27,7
a_faithful_pca_2021-06-11,national_partnership_confirmed_members,561,151,128,39,34,133,0.255639,26.56,87.18,6.06,22.52,16
a_faithful_pca_2021-06-11,overture_15_minority_2022,561,46,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,overture_15_negative_votes_2022,561,199,128,101,50,179,0.279330,39.06,49.50,8.91,25.13,11
a_faithful_pca_2021-06-11,overture_37_minority_2021,561,28,128,15,11,132,0.083333,8.59,73.33,1.96,39.29,1
a_faithful_pca_2021-06-11,publication_co-laborers-co-heirs-2019,561,26,128,1,0,129,0.000000,0.00,0.00,0.00,0.00,2
a_faithful_pca_2021-06-11,publication_heal-us-emmanuel-2016,561,30,128,7,4,131,0.030534,3.12,57.14,0.71,13.33,7
a_faithful_pca_2021-06-11,publication_hear-us-emmanuel-2020,561,29,128,3,3,128,0.023438,2.34,100.00,0.53,10.34,4
a_faithful_pca_2021-06-11,ruf_campus_catalog_2025,561,414,128,8,5,131,0.038168,3.91,62.50,0.89,1.21,6
a_faithful_pca_2021-06-11,ruf_staff_transitions_2026,561,203,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,warhurst_protest_2019,561,203,128,92,62,158,0.392405,48.44,67.39,11.05,30.54,9
a_faithful_pca_2022-03-14,amr_leadership_current,736,6,161,6,3,164,0.018293,1.86,50.00,0.41,50.00,0
a_faithful_pca_2022-03-14,amr_website_media_2023_2026,736,60,161,6,3,164,0.018293,1.86,50.00,0.41,5.00,10
a_faithful_pca_2022-03-14,amr_youtube_media_2023_2026,736,40,161,6,3,164,0.018293,1.86,50.00,0.41,7.50,5
a_faithful_pca_2022-03-14,institution_cdm,736,30,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_covenant-college,736,48,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,2
a_faithful_pca_2022-03-14,institution_covenant-theological-seminary,736,51,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,7
a_faithful_pca_2022-03-14,institution_geneva-benefits,736,46,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_greenville-presbyterian-theological-seminary,736,29,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_mission-to-north-america,736,95,161,2,1,162,0.006173,0.62,50.00,0.14,1.05,4
a_faithful_pca_2022-03-14,institution_mission-to-the-world,736,10,161,1,1,161,0.006211,0.62,100.00,0.14,10.00,0
a_faithful_pca_2022-03-14,institution_pca-administrative-committee,736,19,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_pca-foundation,736,23,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,1
a_faithful_pca_2022-03-14,institution_reformed-theological-seminary,736,46,161,1,0,162,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_reformed-university-fellowship,736,33,161,1,0,162,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_ridge-haven,736,17,161,1,1,161,0.006211,0.62,100.00,0.14,5.88,0
a_faithful_pca_2022-03-14,institution_westminster-seminary-california,736,21,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
