canonical_person_id,name,dataset_count,independent_source_family_count,datasets,source_families,evidence_types,source_locators
david-richter,David Richter,8,6,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; amr_leadership_current; amr_website_media_2023_2026; amr_youtube_media_2023_2026; national_partnership_confirmed_members; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; amr_leadership; amr_media; national_partnership; overture_15_negative_votes_2022; warhurst_protest_2019,formal_organization_leadership; formal_organization_membership; formal_protest_signature; media_authorship_or_participation; media_participation; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:124; a_faithful_pca_2022-03-14::signature:143; amr_leadership_current::aff-richter-amr-current; amr_website_media_2023_2026::item:114:contributor:2:https://a4mr.org/uniting-the-tribes-david-strain-david-richter-and-david-cassidy-discuss-bco-overture-23/; amr_website_media_2023_2026::item:21:contributor:2:https://a4mr.org/what-kind-of-church-are-we-becoming/; amr_website_media_2023_2026::item:31:contributor:1:https://a4mr.org/formed-or-deformed-discipleship-in-a-distracted-age/; amr_youtube_media_2023_2026::video:1DIUuWkKsAo:participant:2; amr_youtube_media_2023_2026::video:aT6rzfPhCRo:participant:2; national_partnership_confirmed_members::confirmed_member:42:david richter; overture_15_negative_votes_2022::print_order:145; warhurst_protest_2019::print_order:93
david-cassidy,David Cassidy,7,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; amr_leadership_current; amr_website_media_2023_2026; amr_youtube_media_2023_2026; overture_15_negative_votes_2022; overture_37_minority_2021,a_faithful_pca; amr_leadership; amr_media; overture_15_negative_votes_2022; overture_37_minority_2021,formal_organization_leadership; media_authorship_or_participation; media_participation; minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:12; a_faithful_pca_2022-03-14::signature:12; amr_leadership_current::aff-cassidy-amr-current; amr_website_media_2023_2026::item:114:contributor:3:https://a4mr.org/uniting-the-tribes-david-strain-david-richter-and-david-cassidy-discuss-bco-overture-23/; amr_website_media_2023_2026::item:120:contributor:1:https://a4mr.org/engaging-our-current-moment-as-an-alliance-for-mission-renewal/; amr_website_media_2023_2026::item:27:contributor:1:https://a4mr.org/obedient-to-the-great-commission-the-pcas-evangelistic-and-missionary-calling/; amr_website_media_2023_2026::item:77:contributor:1:https://a4mr.org/a-reflection-on-church-planting-movements-in-the-early-21st-century/; amr_website_media_2023_2026::item:86:contributor:1:https://a4mr.org/beyond-politics-navigating-election-season-together-with-grace/; amr_website_media_2023_2026::item:96:contributor:1:https://a4mr.org/tim-keller-and-lesslie-newbigin-an-appreciative-comparison/; amr_youtube_media_2023_2026::video:1DIUuWkKsAo:participant:3; overture_15_negative_votes_2022::print_order:23; overture_37_minority_2021::print_order:4
geoff-ziegler,Geoff Ziegler,7,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; amr_leadership_current; amr_website_media_2023_2026; amr_youtube_media_2023_2026; national_partnership_confirmed_members; overture_37_minority_2021,a_faithful_pca; amr_leadership; amr_media; national_partnership; overture_37_minority_2021,formal_organization_leadership; formal_organization_membership; media_authorship_or_participation; media_participation; minority_report_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:157; a_faithful_pca_2022-03-14::signature:176; amr_leadership_current::aff-ziegler-amr-current; amr_website_media_2023_2026::item:18:contributor:1:https://a4mr.org/gratitude-theological-vision-part-two/; amr_website_media_2023_2026::item:20:contributor:1:https://a4mr.org/introduction-to-amrs-theological-vision-statement/; amr_website_media_2023_2026::item:23:contributor:1:https://a4mr.org/three-views-on-female-deacons/; amr_website_media_2023_2026::item:28:contributor:1:https://a4mr.org/true-to-the-reformed-faith-the-confessional-identity-of-the-pca/; amr_website_media_2023_2026::item:7:contributor:2:https://a4mr.org/after-the-general-assembly-reflections-on-trust-unity-and-the-work-ahead/; amr_youtube_media_2023_2026::video:bMj_pCd4U6U:participant:2; national_partnership_confirmed_members::confirmed_member:58:geoff ziegler; overture_37_minority_2021::print_order:28
owen-lee,Owen Lee,7,6,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; institution_mission-to-north-america; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_minority_2021; warhurst_protest_2019,a_faithful_pca; institution_mission-to-north-america; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_minority_2021; warhurst_protest_2019,formal_protest_signature; institutional_role; minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:15; a_faithful_pca_2022-03-14::signature:15; institution_mission-to-north-america::role:220:mission-to-north-america:line:31; nae_withdrawal_protest_2022::print_order:105; overture_15_negative_votes_2022::print_order:107; overture_37_minority_2021::print_order:16; warhurst_protest_2019::print_order:23
sean-lucas,Sean Lucas,7,6,amr_leadership_current; amr_website_media_2023_2026; amr_youtube_media_2023_2026; institution_reformed-theological-seminary; national_partnership_confirmed_members; publication_co-laborers-co-heirs-2019; publication_heal-us-emmanuel-2016,amr_leadership; amr_media; institution_reformed-theological-seminary; national_partnership; publication_co-laborers-co-heirs-2019; publication_heal-us-emmanuel-2016,formal_organization_leadership; formal_organization_membership; institutional_role; media_authorship_or_participation; media_participation; publication_contribution,amr_leadership_current::aff-lucas-amr-current; amr_website_media_2023_2026::item:100:contributor:1:https://a4mr.org/courtesy-and-civility-how-christians-ought-to-engage-each-other-and-the-public-square/; amr_website_media_2023_2026::item:104:contributor:1:https://a4mr.org/hope-full-presbyterianism/; amr_website_media_2023_2026::item:29:contributor:1:https://a4mr.org/faithful-to-the-scriptures-the-pcas-bedrock-commitment/; amr_website_media_2023_2026::item:37:contributor:1:https://a4mr.org/all-for-loves-sake/; amr_website_media_2023_2026::item:47:contributor:1:https://a4mr.org/working-for-the-unity-of-the-church-during-the-reformation/; amr_website_media_2023_2026::item:51:contributor:1:https://a4mr.org/from-sunday-to-monday-why-connecting-vocation-and-discipleship-is-central-to-the-christian-life/; amr_website_media_2023_2026::item:57:contributor:1:https://a4mr.org/general-assembly-recap-the-good-the-adequate-and-the-ugly/; amr_website_media_2023_2026::item:62:contributor:1:https://a4mr.org/theological-triage-at-the-pca-general-assembly/; amr_website_media_2023_2026::item:64:contributor:1:https://a4mr.org/presbyterianism-is-good-for-you/; amr_website_media_2023_2026::item:8:contributor:1:https://a4mr.org/presbyterian-theological-vision-part-seven/; amr_youtube_media_2023_2026::video:mHrRbj6BSKM:participant:2; amr_youtube_media_2023_2026::video:zYRv7vG5xKA:participant:1; institution_reformed-theological-seminary::role:381:reformed-theological-seminary:line:150; national_partnership_confirmed_members::confirmed_member:132:sean lucas; publication_co-laborers-co-heirs-2019::chapter:21:contributor:1; publication_heal-us-emmanuel-2016::chapter:18:contributor:1
irwyn-ince,Irwyn Ince,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; publication_heal-us-emmanuel-2016; publication_hear-us-emmanuel-2020; warhurst_protest_2019,a_faithful_pca; national_partnership; publication_heal-us-emmanuel-2016; publication_hear-us-emmanuel-2020; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature; publication_contribution,a_faithful_pca_2021-06-11::signature:2; a_faithful_pca_2022-03-14::signature:2; national_partnership_confirmed_members::confirmed_member:67:irwyn ince; publication_heal-us-emmanuel-2016::chapter:23:contributor:1; publication_hear-us-emmanuel-2020::chapter:11:contributor:1; warhurst_protest_2019::print_order:148
kevin-twit,Kevin Twit,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; formal_position_2009-overture-10-women-roles-study-minority-report; national_partnership_confirmed_members; overture_15_negative_votes_2022; ruf_campus_catalog_2025,a_faithful_pca; ga_2009_formal_positions; institution_reformed-university-fellowship; national_partnership; overture_15_negative_votes_2022,formal_organization_membership; formal_report_concurrence; public_letter_signature; recorded_negative_vote; ruf_campus_role_snapshot,a_faithful_pca_2021-06-11::signature:191; a_faithful_pca_2022-03-14::signature:210; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:2; national_partnership_confirmed_members::confirmed_member:96:kevin twit; overture_15_negative_votes_2022::print_order:183; ruf_campus_catalog_2025::catalog-role:19:page:23
peter-rowan,Peter Rowan,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_minority_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_minority_2021; warhurst_protest_2019,formal_protest_signature; minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:147; a_faithful_pca_2022-03-14::signature:166; nae_withdrawal_protest_2022::print_order:148; overture_15_negative_votes_2022::print_order:149; overture_37_minority_2021::print_order:21; warhurst_protest_2019::print_order:130
scott-sauls,Scott Sauls,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; national_partnership_confirmed_members; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; national_partnership; overture_15_negative_votes_2022; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:20; a_faithful_pca_2022-03-14::signature:20; nae_withdrawal_protest_2022::print_order:153; national_partnership_confirmed_members::confirmed_member:130:scott sauls; overture_15_negative_votes_2022::print_order:154; warhurst_protest_2019::print_order:97
aaron-baker,Aaron Baker,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; formal_position_2009-overture-10-women-roles-study-minority-report; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; ga_2009_formal_positions; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; formal_report_concurrence; public_letter_signature,a_faithful_pca_2021-06-11::signature:220; a_faithful_pca_2022-03-14::signature:238; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:27; national_partnership_confirmed_members::confirmed_member:1:aaron baker; warhurst_protest_2019::print_order:177
