source_dataset,presbytery_normalized,presbytery_id,canonicalization_status,observed_roster_rows,unique_printed_name_denominator,confirmed_person_count,confirmed_resolution_rate,multi_roster_person_count,multi_roster_rate_among_confirmed
a_faithful_pca_2021-06-11,arizona,arizona,current_exact,11,11,1,9.09,1,100.00
a_faithful_pca_2021-06-11,ascension,ascension,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,blue ridge,blue-ridge,current_exact,2,2,0,0.00,0,0.00
a_faithful_pca_2021-06-11,calvary,calvary,current_exact,5,5,0,0.00,0,0.00
a_faithful_pca_2021-06-11,catawba valley,catawba-valley,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,central carolina,central-carolina,current_exact,2,2,0,0.00,0,0.00
a_faithful_pca_2021-06-11,central florida,central-florida,current_exact,12,12,3,25.00,3,100.00
a_faithful_pca_2021-06-11,central georgia,central-georgia,current_exact,12,12,2,16.67,2,100.00
a_faithful_pca_2021-06-11,central indiana,central-indiana,current_exact,4,4,1,25.00,1,100.00
a_faithful_pca_2021-06-11,chesapeake,chesapeake,current_exact,32,32,4,12.50,4,100.00
a_faithful_pca_2021-06-11,chicago metro,chicago-metro,current_exact,12,12,7,58.33,7,100.00
a_faithful_pca_2021-06-11,columbus metro,,unresolved_historical_or_noncanonical,4,4,2,50.00,2,100.00
a_faithful_pca_2021-06-11,covenant,covenant,current_exact,7,7,2,28.57,2,100.00
a_faithful_pca_2021-06-11,eastern canada,eastern-canada,current_exact,3,3,3,100.00,3,100.00
a_faithful_pca_2021-06-11,eastern carolina,eastern-carolina,current_exact,7,7,1,14.29,1,100.00
a_faithful_pca_2021-06-11,eastern pennsylvania,eastern-pennsylvania,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,evangel,evangel,current_exact,41,40,5,12.50,5,100.00
a_faithful_pca_2021-06-11,fellowship,fellowship,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,georgia foothills,georgia-foothills,current_exact,8,7,1,14.29,1,100.00
a_faithful_pca_2021-06-11,grace,grace,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,gulf coast,gulf-coast,current_exact,4,4,0,0.00,0,0.00
a_faithful_pca_2021-06-11,gulfstream,gulfstream,current_exact,5,5,1,20.00,1,100.00
a_faithful_pca_2021-06-11,heritage,heritage,current_exact,5,5,1,20.00,1,100.00
a_faithful_pca_2021-06-11,highlands,highlands,current_exact,5,5,2,40.00,2,100.00
a_faithful_pca_2021-06-11,hills and plains,hills-and-plains,current_exact,11,11,8,72.73,8,100.00
a_faithful_pca_2021-06-11,houston metro,houston-metro,current_exact,3,3,2,66.67,2,100.00
a_faithful_pca_2021-06-11,iowa,iowa,current_exact,3,3,1,33.33,1,100.00
a_faithful_pca_2021-06-11,james river,james-river,current_exact,7,7,0,0.00,0,0.00
a_faithful_pca_2021-06-11,korean capital,korean-capital,current_exact,13,13,7,53.85,7,100.00
a_faithful_pca_2021-06-11,korean central,korean-central,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,korean eastern,korean-eastern,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,korean northeastern,korean-northeastern,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,korean northwest,korean-northwest,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,korean southeastern,korean-southeastern,current_exact,4,4,1,25.00,1,100.00
a_faithful_pca_2021-06-11,korean southwest,korean-southwest,current_exact,1,1,1,100.00,1,100.00
a_faithful_pca_2021-06-11,korean southwest orange county,korean-southwest-orange-county,current_exact,2,2,1,50.00,1,100.00
a_faithful_pca_2021-06-11,lowcountry,,unresolved_historical_or_noncanonical,3,3,0,0.00,0,0.00
a_faithful_pca_2021-06-11,metro atlanta,metro-atlanta,current_exact,21,21,8,38.10,8,100.00
a_faithful_pca_2021-06-11,metropolitan new york,metropolitan-new-york,current_exact,9,9,4,44.44,3,75.00
a_faithful_pca_2021-06-11,missouri,missouri,current_exact,32,31,12,38.71,12,100.00
a_faithful_pca_2021-06-11,nashville,nashville,current_exact,25,23,7,30.43,7,100.00
a_faithful_pca_2021-06-11,new jersey,new-jersey,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2021-06-11,new york state,new-york-state,current_exact,7,7,0,0.00,0,0.00
a_faithful_pca_2021-06-11,north florida,north-florida,current_exact,6,6,1,16.67,1,100.00
a_faithful_pca_2021-06-11,north texas,north-texas,current_exact,8,8,1,12.50,1,100.00
a_faithful_pca_2021-06-11,northern california,northern-california,current_exact,12,12,4,33.33,4,100.00
a_faithful_pca_2021-06-11,northern illinois,northern-illinois,current_exact,2,2,1,50.00,1,100.00
a_faithful_pca_2021-06-11,northern new england,northern-new-england,current_exact,3,3,0,0.00,0,0.00
a_faithful_pca_2021-06-11,ohio,ohio,current_exact,2,2,1,50.00,1,100.00
a_faithful_pca_2021-06-11,ohio valley,ohio-valley,current_exact,12,12,3,25.00,3,100.00
a_faithful_pca_2021-06-11,pacific,pacific,current_exact,8,7,1,14.29,1,100.00
a_faithful_pca_2021-06-11,pacific northwest,pacific-northwest,current_exact,5,5,3,60.00,3,100.00
a_faithful_pca_2021-06-11,palmetto,palmetto,current_exact,4,4,3,75.00,3,100.00
a_faithful_pca_2021-06-11,philadelphia,philadelphia,current_exact,6,6,1,16.67,1,100.00
a_faithful_pca_2021-06-11,philadelphia metro west,philadelphia-metro-west,current_exact,3,3,1,33.33,1,100.00
a_faithful_pca_2021-06-11,piedmont triad,piedmont-triad,current_exact,7,7,4,57.14,4,100.00
a_faithful_pca_2021-06-11,pittsburgh,pittsburgh,current_exact,12,12,3,25.00,3,100.00
a_faithful_pca_2021-06-11,potomac,potomac,current_exact,15,15,5,33.33,5,100.00
a_faithful_pca_2021-06-11,providence,providence,current_exact,7,6,0,0.00,0,0.00
a_faithful_pca_2021-06-11,rio grande,rio-grande,current_exact,12,12,3,25.00,3,100.00
a_faithful_pca_2021-06-11,rocky mountain,rocky-mountain,current_exact,17,17,4,23.53,4,100.00
a_faithful_pca_2021-06-11,south coast,south-coast,current_exact,11,10,4,40.00,4,100.00
a_faithful_pca_2021-06-11,south florida,south-florida,current_exact,7,7,1,14.29,1,100.00
a_faithful_pca_2021-06-11,south texas,south-texas,current_exact,25,24,4,16.67,4,100.00
a_faithful_pca_2021-06-11,southern louisiana,southern-louisiana,current_exact,5,5,3,60.00,3,100.00
a_faithful_pca_2021-06-11,southern new england,southern-new-england,current_exact,19,19,4,21.05,4,100.00
a_faithful_pca_2021-06-11,southwest florida,southwest-florida,current_exact,3,3,2,66.67,2,100.00
a_faithful_pca_2021-06-11,suncoast florida,suncoast-florida,current_exact,2,2,0,0.00,0,0.00
a_faithful_pca_2021-06-11,susquehanna valley,susquehanna-valley,current_exact,2,2,1,50.00,1,100.00
a_faithful_pca_2021-06-11,tennessee valley,tennessee-valley,current_exact,14,14,2,14.29,2,100.00
a_faithful_pca_2021-06-11,tidewater,tidewater,current_exact,3,3,1,33.33,1,100.00
a_faithful_pca_2021-06-11,westminster,westminster,current_exact,2,2,1,50.00,1,100.00
a_faithful_pca_2021-06-11,wisconsin,wisconsin,current_exact,5,5,2,40.00,2,100.00
a_faithful_pca_2022-03-14,arizona,arizona,current_exact,12,12,2,16.67,2,100.00
a_faithful_pca_2022-03-14,ascension,ascension,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2022-03-14,blue ridge,blue-ridge,current_exact,3,3,0,0.00,0,0.00
a_faithful_pca_2022-03-14,calvary,calvary,current_exact,10,10,0,0.00,0,0.00
a_faithful_pca_2022-03-14,catawba valley,catawba-valley,current_exact,1,1,0,0.00,0,0.00
a_faithful_pca_2022-03-14,central carolina,central-carolina,current_exact,4,4,1,25.00,1,100.00
a_faithful_pca_2022-03-14,central florida,central-florida,current_exact,13,13,3,23.08,3,100.00
a_faithful_pca_2022-03-14,central georgia,central-georgia,current_exact,14,14,2,14.29,2,100.00
a_faithful_pca_2022-03-14,central indiana,central-indiana,current_exact,5,5,1,20.00,1,100.00
a_faithful_pca_2022-03-14,chesapeake,chesapeake,current_exact,40,40,4,10.00,4,100.00
a_faithful_pca_2022-03-14,chicago metro,chicago-metro,current_exact,16,16,7,43.75,7,100.00
