name,office,committee_or_agency,evidence_date,archive_page,evidence_type,confidence,notes
Peter Rowan,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under 'current names of NP on the Committee of Commissioners'"
Justin Woodall,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Walt Coppersmith,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Mark Bates,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Jim Richter,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Ben Lyon,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Michael Craddock,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Jedidiah Slaboda,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Dan MacDonald,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Eric Costa,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Will Reinmuth,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Kevin Twit,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Ian Hard,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Mike Sloan,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Richard Dolan,RE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Geoff Ziegler,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Tim LeCroy,TE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Bill Thomas,RE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Paul Neighbors,RE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Sam Duncan,RE,Overtures,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
James Kessler,TE,Administrative,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Matthew Armstrong,TE,Administrative,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Erik Bonkovsky,TE,Administrative,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Jon Price,TE,Administrative,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Walter Henegar,TE,Interchurch Relations,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Kyle Hackmann,TE,Interchurch Relations,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Jason Polk,TE,Interchurch Relations,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Larry Hoop,TE,Interchurch Relations,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Drew Bennett,TE,MNA,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Jeff Schneider,TE,MTW,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Charles Godwin,TE,MTW,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Todd Crusey,TE,MTW,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Jonathan Winfree,TE,Covenant Seminary,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Luke Evans,TE,Covenant Seminary,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Nate Walker,TE,Covenant College,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Erik McDaniel,TE,Covenant College,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
David Wallover,TE,CE/P,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Blake Altman,TE,PCA Foundation,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Daniel Gilchrist,TE,Ridge Haven,2014-06-02,37,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Wes Neel,TE,Ridge Haven,2014-06-02,38,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Jason Little,TE,RUM,2014-06-02,38,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
Charles Garland,TE,RUM,2014-06-02,38,named_np_committee_roster,confirmed,"Listed under current NP Committee of Commissioners roster"
