name,office,committee_or_agency,evidence_period,archive_page,evidence_type,confidence,notes
Dave Schutter,TE,Review of Presbytery Records,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on RPR"
Tim LeCroy,TE,Review of Presbytery Records,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on RPR"
Todd Gwennap,TE,Review of Presbytery Records,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on RPR"
Bobby Griffith,TE,Review of Presbytery Records,2015,7,named_partnership_man,confirmed,"Later expanded RPR roster"
Dan Adamson,TE,Review of Presbytery Records,2015,7,named_partnership_man,confirmed,"Later expanded RPR roster"
Tim Weldon,TE,Review of Presbytery Records,2015,7,named_partnership_man,confirmed,"Later expanded RPR roster"
Dan Herron,TE,Review of Presbytery Records,2015,7,named_partnership_man,confirmed,"Later expanded RPR roster"
Joel St. Clair,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
James Kessler,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
John Pennylegion,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
Mike Khandjian,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
Jeff Kerr,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
Jack Howell,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
Michael Novak,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
Brandon Lauranzon,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
Andy Moehn,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
Brian Deringer,TE,Nominating Committee,2015,4,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Nominating Committee"
David Richter,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Sean Roberts,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
David Salsedo,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Bent Stutzman,RE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Ben Lyon,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Jonathan Winfree,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Andy Moehn,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Kevin Allen,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
E.J. Nusbaum,RE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Nate Walker,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Walt Nilsson,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Ian Hard,TE,Overtures,2015,9,named_partnership_man,confirmed,"Explicitly listed under Partnership men serving on Overtures Committee"
Joel St. Clair,TE,Administrative,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Erik McDaniel,TE,Covenant College,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Aaron Baker,TE,Covenant Seminary,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Nate Conrad,TE,Discipleship Ministries,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Dan Adamson,TE,Interchurch Relations,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Larry Hoop,TE,Interchurch Relations,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Jeff Kerr,TE,Interchurch Relations,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Doug Tharp,TE,MNA,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Michael Langer,TE,MNA,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Nick Protos,TE,MTW,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
Walter Henegar,TE,RUM,2015,9,named_partnership_man,confirmed,"Named Partnership committee placement"
